Season,Fall Bow,Youth Hunts,Permit Bow,Six-day Firearm,Permit Muzzleloader,Permit Shotgun,Winter Bow,Total Harvest,Antlered Harvest,Antlerless Harvest
1972-73,1464,,,6994,,2563,,11021,7763,3258
1973-74,1689,,,6837,,2792,,11318,7722,3596
1974-75,1717,,,6995,,4434,,13146,7936,5210
1975-76,1823,,,6790,,3885,190,12688,7812,4876
1976-77,1960,,,7140,,3768,150,13018,8374,4644
1977-78,2381,,,7829,,3999,210,14419,9329,5090
1978-79,2361,,,7017,249,5911,280,15818,8690,7128
1979-80,2020,,,8673,387,4783,243,16106,10084,6022
1980-81,4853,,,9959,648,5423,308,21191,12404,8787
1981-82,5520,,,10485,989,4817,326,22137,13131,9006
1982-83,6587,,,10033,1073,5711,341,23745,13527,10218
1983-84,6524,,,10121,1160,5136,378,23319,13756,9563
1984-85,7149,,,11030,1631,5259,550,25619,14866,10753
1985-86,7535,,,11513,2829,7080,435,29392,16417,12975
1986-87,7861,,1768,13758,3488,6344,558,33777,19907,13870
1987-88,8483,,2548,14523,3815,9077,782,39228,22006,17222
1988-89,9816,,2326,14158,4203,14779,618,45900,22544,23356
1989-90,10107,,2952,14018,5899,14895,655,48526,23075,25451
1990-91,10422,,2619,13513,4897,15962,809,48222,23141,25081
1991-92,11423,,3319,11090,4426,14420,738,45416,21882,23534
1993-94,13393,,2953,11895,5739,15302,660,49942,23821,26121
1994-95,14396,,3602,11596,5700,15306,842,51442,24650,26792
1995-96,15821,,3992,14071,7746,17359,780,59769,28073,31696
1996-97,11527,,7327,10035,9580,17094,1141,56704,25992,30712
1997-98,12196,,6977,11518,9831,17941,1088,59551,27211,32340
1998-99,12581,,7228,10921,9850,18268,1166,60014,26989,33025
1999-00,14282,,9583,10848,10920,28498,1267,75398,22035,53363
2000-01,13868,,9429,13016,12470,27116,1545,77444,23307,54137
2001-02,13037,730,9726,9977,12357,23060,1083,69970,20734,49236
2002-03,11329,783,8657,10524,10166,20678,894,63031,20783,42248
2004-05,13128,709,8340,7895,10359,16950,1183,58564,17965,40599
2005-06,14040,839,8206,10001,10040,15533,998,59657,20508,39145
2006-07,14418,844,7246,9259,9282,14502,1122,56673,19460,37213
2007-08,9994,725,6086,8243,8338,12399,1232,47017,17467,29549
2008-09,13299,860,6089,7741,9878,13764,1629,53260,18399,34861
2009-10,14161,689,6852,8014,7639,13383,2046,52784,19181,33603
2010-11,15775,817,8428,7485,7827,12446,2626,55404,19925,35479
2011-12,14207,767,8022,7025,6509,10815,2764,50109,18567,31533
2012-13,15049,743,7934,6614,6432,10267,2903,49942,17752,32146
2013-14,15151,600,10451,6019,6110,10295,2970,51595,18511,33083
2015-16,13312,376,7049,4791,4398,8470,3043,41439,15290,26149
2016-17,15105,407,10247,6284,4935,9164,3104,49246,19889,29357
2017-18,13993,353,10402,6177,5225,9008,3387,48545,20082,28463
2018-19,14612,436,10649,7291,4812,9374,3687,50861,21545,29316
2019-20,14071,330,11223,4850,4126,7757,3293,45650,18852,26798
